"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"LC1","GRA.Clearwater.Lolo.LC1","GRA","Clearwater","Lolo","LC1","","","","","","",""
"LC2","GRA.Clearwater.Lolo.LC1.LC2","GRA","Clearwater","Lolo","LC1","LC2","","","","","",""
"ELDORC","GRA.Clearwater.Lolo.LC1.LC2.ELDORC","GRA","Clearwater","Lolo","LC1","LC2","ELDORC","","","","",""
"LOLOC","GRA.Clearwater.Lolo.LC1.LC2.LOLOC","GRA","Clearwater","Lolo","LC1","LC2","LOLOC","","","","",""
"SC1","GRA.Clearwater.SFClearwater.SC1","GRA","Clearwater","SFClearwater","SC1","","","","","","",""
"SC2","GRA.Clearwater.SFClearwater.SC1.SC2","GRA","Clearwater","SFClearwater","SC1","SC2","","","","","",""
"AMERR","GRA.Clearwater.SFClearwater.SC1.SC2.AMERR","GRA","Clearwater","SFClearwater","SC1","SC2","AMERR","","","","",""
"CROOKP","GRA.Clearwater.SFClearwater.SC1.SC2.CROOKP","GRA","Clearwater","SFClearwater","SC1","SC2","CROOKP","","","","",""
"CROOKR","GRA.Clearwater.SFClearwater.SC1.SC2.CROOKR","GRA","Clearwater","SFClearwater","SC1","SC2","CROOKR","","","","",""
"CROP","GRA.Clearwater.SFClearwater.SC1.SC2.CROP","GRA","Clearwater","SFClearwater","SC1","SC2","CROP","","","","",""
"CROTRP","GRA.Clearwater.SFClearwater.SC1.SC2.CROTRP","GRA","Clearwater","SFClearwater","SC1","SC2","CROTRP","","","","",""
"CROW","GRA.Clearwater.SFClearwater.SC1.SC2.CROW","GRA","Clearwater","SFClearwater","SC1","SC2","CROW","","","","",""
"CRT","GRA.Clearwater.SFClearwater.SC1.SC2.CRT","GRA","Clearwater","SFClearwater","SC1","SC2","CRT","","","","",""
"FIVEMC","GRA.Clearwater.SFClearwater.SC1.SC2.FIVEMC","GRA","Clearwater","SFClearwater","SC1","SC2","FIVEMC","","","","",""
"JOHNC","GRA.Clearwater.SFClearwater.SC1.SC2.JOHNC","GRA","Clearwater","SFClearwater","SC1","SC2","JOHNC","","","","",""
"LUGUAF","GRA.Clearwater.SFClearwater.SC1.SC2.LUGUAF","GRA","Clearwater","SFClearwater","SC1","SC2","LUGUAF","","","","",""
"MEAD2C","GRA.Clearwater.SFClearwater.SC1.SC2.MEAD2C","GRA","Clearwater","SFClearwater","SC1","SC2","MEAD2C","","","","",""
"MILL2C","GRA.Clearwater.SFClearwater.SC1.SC2.MILL2C","GRA","Clearwater","SFClearwater","SC1","SC2","MILL2C","","","","",""
"NEWSOC","GRA.Clearwater.SFClearwater.SC1.SC2.NEWSOC","GRA","Clearwater","SFClearwater","SC1","SC2","NEWSOC","","","","",""
"REDP","GRA.Clearwater.SFClearwater.SC1.SC2.REDP","GRA","Clearwater","SFClearwater","SC1","SC2","REDP","","","","",""
"REDR","GRA.Clearwater.SFClearwater.SC1.SC2.REDR","GRA","Clearwater","SFClearwater","SC1","SC2","REDR","","","","",""
"REDRSF","GRA.Clearwater.SFClearwater.SC1.SC2.REDRSF","GRA","Clearwater","SFClearwater","SC1","SC2","REDRSF","","","","",""
"REDTRP","GRA.Clearwater.SFClearwater.SC1.SC2.REDTRP","GRA","Clearwater","SFClearwater","SC1","SC2","REDTRP","","","","",""
"RELIEC","GRA.Clearwater.SFClearwater.SC1.SC2.RELIEC","GRA","Clearwater","SFClearwater","SC1","SC2","RELIEC","","","","",""
"RRT","GRA.Clearwater.SFClearwater.SC1.SC2.RRT","GRA","Clearwater","SFClearwater","SC1","SC2","RRT","","","","",""
"TENMIC","GRA.Clearwater.SFClearwater.SC1.SC2.TENMIC","GRA","Clearwater","SFClearwater","SC1","SC2","TENMIC","","","","",""
"TWNMIC","GRA.Clearwater.SFClearwater.SC1.SC2.TWNMIC","GRA","Clearwater","SFClearwater","SC1","SC2","TWNMIC","","","","",""
"TWNMIT","GRA.Clearwater.SFClearwater.SC1.SC2.TWNMIT","GRA","Clearwater","SFClearwater","SC1","SC2","TWNMIT","","","","",""
"CLC","GRA.Clearwater.ClearCreek.CLC","GRA","Clearwater","ClearCreek","CLC","","","","","","",""
"KOOS","GRA.Clearwater.ClearCreek.CLC.KOOS","GRA","Clearwater","ClearCreek","CLC","KOOS","","","","","",""
"CLEARC","GRA.Clearwater.ClearCreek.CLC.CLEARC","GRA","Clearwater","ClearCreek","CLC","CLEARC","","","","","",""
"SW1","GRA.Clearwater.Selway.SW1","GRA","Clearwater","Selway","SW1","","","","","","",""
"CEFLAF","GRA.Clearwater.Selway.SW1.CEFLAF","GRA","Clearwater","Selway","SW1","CEFLAF","","","","","",""
"OHARAC","GRA.Clearwater.Selway.SW1.OHARAC","GRA","Clearwater","Selway","SW1","OHARAC","","","","","",""
"SW2","GRA.Clearwater.Selway.SW1.SW2","GRA","Clearwater","Selway","SW1","SW2","","","","","",""
"3LINKC","GRA.Clearwater.Selway.SW1.SW2.3LINKC","GRA","Clearwater","Selway","SW1","SW2","3LINKC","","","","",""
"BEARC","GRA.Clearwater.Selway.SW1.SW2.BEARC","GRA","Clearwater","Selway","SW1","SW2","BEARC","","","","",""
"EAGLEC","GRA.Clearwater.Selway.SW1.SW2.EAGLEC","GRA","Clearwater","Selway","SW1","SW2","EAGLEC","","","","",""
"GEDCWF","GRA.Clearwater.Selway.SW1.SW2.GEDCWF","GRA","Clearwater","Selway","SW1","SW2","GEDCWF","","","","",""
"GEDNEC","GRA.Clearwater.Selway.SW1.SW2.GEDNEC","GRA","Clearwater","Selway","SW1","SW2","GEDNEC","","","","",""
